Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D
11/9/2021,N,Utah,P12,Abilene Christian,H,"W, 70-56",101,79.8
11/9/2021,N,Ohio St.,B10,Akron,H,"W, 67-66",110,104.9
11/9/2021,N,Louisiana Tech,CUSA,Alabama,A,"L, 93-64",97.8,110
11/9/2021,N,Tennessee St.,OVC,Alabama A&M,A,"L, 82-73",106.3,131.2
11/9/2021,N,Western Kentucky,CUSA,Alabama St.,H,"W, 79-74",87.1,103.9
11/9/2021,N,Towson,CAA,Albany,A,"W, 77-56",109.5,96.1
11/9/2021,N,Washington St.,P12,Alcorn St.,H,"W, 85-67",118.9,103.6
11/9/2021,N,Marist,MAAC,American,A,"L, 77-73",89,104.8
11/9/2021,N,Iona,MAAC,Appalachian St.,H,"W, 65-53",95.8,88.9
11/9/2021,N,Northern Arizona,BSky,Arizona,A,"L, 81-52",86.1,95.4
11/9/2021,N,Portland,WCC,Arizona St.,A,"L, 76-60",90.5,98.4
11/9/2021,N,Mercer,SC,Arkansas,A,"L, 74-61",107,95.8
11/9/2021,N,Creighton,BE,Arkansas Pine Bluff,H,"W, 90-77",94.3,111.8
11/9/2021,N,Morehead St.,OVC,Auburn,A,"L, 77-54",88.2,102.2
11/9/2021,N,Georgia Southern,SB,Ball St.,H,"W, 82-71",103.9,106.9
11/9/2021,N,Purdue,B10,Bellarmine,H,"W, 96-67",129.1,100.1
11/9/2021,N,Ohio,MAC,Belmont,H,"W, 92-80",125.3,105.4
11/9/2021,N,South Florida,Amer,Bethune Cookman,H,"W, 75-54",99,94.3
11/9/2021,N,Cornell,Ivy,Binghamton,A,"W, 76-69",94.8,93.5
11/9/2021,N,Utah Valley,WAC,Boise St.,A,"L, 76-56",94.5,102.2
11/9/2021,N,Dartmouth,Ivy,Boston College,A,"L, 73-57",89,114.9
11/9/2021,N,Rhode Island,A10,Boston University,H,"W, 71-62",91.8,85
11/9/2021,N,Western Carolina,SC,Bowling Green,H,"W, 79-71",83.5,85.4
11/9/2021,N,South Dakota St.,Sum,Bradley,H,"W, 81-65",107.1,79
11/9/2021,N,North Carolina St.,ACC,Bucknell,H,"W, 88-70",98.7,105.4
11/9/2021,N,IUPUI,Horz,Butler,A,"L, 56-47",83.7,96
11/9/2021,N,Cleveland St.,Horz,BYU,A,"L, 69-59",100.7,98.9
11/9/2021,N,UCLA,P12,Cal St. Bakersfield,H,"W, 95-58",113.8,84.2
11/9/2021,N,Santa Clara,WCC,Cal St. Fullerton,H,"W, 84-77",122.7,118.3
11/9/2021,N,USC,P12,Cal St. Northridge,H,"W, 89-49",118.2,82.9
11/9/2021,N,UC San Diego,BW,California,A,"W, 80-67",113.3,99.3
11/9/2021,N,Miami FL,ACC,Canisius,H,"W, 77-67",100.9,97.1
11/9/2021,N,Saint Louis,A10,Central Arkansas,H,"W, 96-61",106.3,90.2
11/9/2021,N,Connecticut,BE,Central Connecticut,H,"W, 99-48",117.8,81.1
11/9/2021,N,Missouri,SEC,Central Michigan,H,"W, 78-68",104.9,108.5
11/9/2021,N,Monmouth,MAAC,Charlotte,A,"L, 68-66",91.3,101.8
11/9/2021,N,Loyola Marymount,WCC,Chattanooga,H,"L, 75-64",109.7,111.4
11/9/2021,N,St. Thomas,Sum,Chicago St.,A,"L, 77-72",98.5,120.5
11/9/2021,N,Evansville,MVC,Cincinnati,A,"L, 65-43",70.9,89.8
11/9/2021,N,Presbyterian,BSth,Clemson,A,"L, 64-53",88.5,84.2
11/9/2021,N,BYU,WCC,Cleveland St.,H,"W, 69-59",103,94.7
11/9/2021,N,Northeastern,CAA,Colgate,A,"L, 65-58",86,89.2
11/9/2021,N,Montana St.,BSky,Colorado,A,"L, 94-90",126.5,114.4
11/9/2021,N,Oral Roberts,Sum,Colorado St.,A,"L, 109-80",117.8,124
11/9/2021,N,Fordham,A10,Columbia,H,"W, 77-67",104,105.3
11/9/2021,N,Central Connecticut,NEC,Connecticut,A,"L, 99-48",76.1,117.2
11/9/2021,N,Loyola Chicago,MVC,Coppin St.,H,"W, 103-45",125.5,72.1
11/9/2021,N,Binghamton,AE,Cornell,H,"L, 76-69",83.9,97
11/9/2021,N,Arkansas Pine Bluff,SWAC,Creighton,A,"L, 90-77",118.4,107.8
11/9/2021,N,Boston College,ACC,Dartmouth,H,"W, 73-57",118.6,91.2
11/9/2021,N,Delaware,CAA,Davidson,A,"L, 93-71",106.9,116.4
11/9/2021,N,Illinois Chicago,Horz,Dayton,A,"L, 64-54",101.6,95.2
11/9/2021,N,Davidson,A10,Delaware,H,"W, 93-71",130.7,101.5
11/9/2021,N,Kentucky,SEC,Duke,N,"L, 79-71",103.6,90
11/9/2021,N,Rider,MAAC,Duquesne,A,"L, 73-61",94.9,113.5
11/9/2021,N,South Carolina St.,MEAC,East Carolina,A,"L, 70-62",81.3,87.3
11/9/2021,N,Northwestern,B10,Eastern Illinois,H,"W, 80-56",102.7,99.8
11/9/2021,N,Indiana,B10,Eastern Michigan,H,"W, 68-62",88.7,84.8
11/9/2021,N,Nevada,MWC,Eastern Washington,H,"W, 91-76",109.8,100
11/9/2021,N,Florida,SEC,Elon,H,"W, 74-61",109.7,90.7
11/9/2021,N,Cincinnati,Amer,Evansville,H,"W, 65-43",88.2,74.6
11/9/2021,N,Providence,BE,Fairfield,H,"W, 80-73",102.9,100.1
11/9/2021,N,Georgia,SEC,FIU,H,"W, 58-51",81.5,86.9
11/9/2021,N,Elon,CAA,Florida,A,"L, 74-61",92.4,105.5
11/9/2021,N,Columbia,Ivy,Fordham,A,"L, 77-67",102.4,127.6
11/9/2021,N,Stony Brook,AE,George Mason,A,"L, 74-52",81.1,98.3
11/9/2021,N,St. Francis PA,NEC,George Washington,A,"L, 75-72",91.7,103
11/9/2021,N,FIU,CUSA,Georgia,A,"L, 58-51",77.3,80.7
11/9/2021,N,Ball St.,MAC,Georgia Southern,A,"L, 82-71",105.7,117.1
11/9/2021,N,Miami OH,MAC,Georgia Tech,A,"W, 72-69",103.1,97
11/9/2021,N,Utah Tech,WAC,Gonzaga,A,"L, 97-63",94.6,98.6
11/9/2021,N,Grand Canyon,WAC,Grambling St.,H,"W, 74-53",105.6,86.2
11/9/2021,N,Grambling St.,SWAC,Grand Canyon,A,"L, 74-53",82.7,108
11/9/2021,N,Indiana St.,MVC,Green Bay,A,"W, 81-77",104.2,118.4
11/9/2021,N,Wagner,NEC,Hartford,H,"W, 77-59",104.2,89.6
11/9/2021,N,Houston,Amer,Hofstra,H,"W, 83-75",109,104.6
11/9/2021,N,Hofstra,CAA,Houston,A,"L, 83-75",128.9,97.1
11/9/2021,N,Texas,B12,Houston Christian,H,"W, 92-48",124,95.1
11/9/2021,N,Jackson St.,SWAC,Illinois,A,"L, 71-47",78.3,95.1
11/9/2021,N,Dayton,A10,Illinois Chicago,H,"W, 64-54",94.9,96.3
11/9/2021,N,UNC Wilmington,CAA,Illinois St.,A,"L, 68-63",91.8,93.1
11/9/2021,N,Texas St.,SB,Incarnate Word,A,"W, 75-57",112.8,98.7
11/9/2021,N,Eastern Michigan,MAC,Indiana,A,"L, 68-62",87.5,87.8
11/9/2021,N,Green Bay,Horz,Indiana St.,H,"L, 81-77",107.5,114.2
11/9/2021,N,Appalachian St.,SB,Iona,A,"L, 65-53",90.7,89.2
11/9/2021,N,Longwood,BSth,Iowa,A,"L, 106-73",101.1,119.8
11/9/2021,N,Kennesaw St.,ASun,Iowa St.,A,"L, 84-73",105.1,102.5
11/9/2021,N,Butler,BE,IUPUI,H,"W, 56-47",89.8,101.6
11/9/2021,N,Illinois,B10,Jackson St.,H,"W, 71-47",103.8,78.2
11/9/2021,N,Wichita St.,Amer,Jacksonville St.,H,"W, 60-57",92.9,92.6
11/9/2021,N,Michigan St.,B10,Kansas,N,"L, 87-74",109.6,95.1
11/9/2021,N,Iowa St.,B12,Kennesaw St.,H,"W, 84-73",95.7,89.6
11/9/2021,N,Duke,ACC,Kentucky,N,"W, 79-71",115.7,83.3
11/9/2021,N,Sacred Heart,NEC,La Salle,A,"W, 86-81",102.2,103.1
11/9/2021,N,Syracuse,ACC,Lafayette,H,"W, 97-63",121.3,94.7
11/9/2021,N,Southern Illinois,MVC,Little Rock,A,"L, 69-66",87.6,99
11/9/2021,N,San Francisco,WCC,LIU Brooklyn,H,"W, 98-64",130.4,95.1
11/9/2021,N,Iowa,B10,Longwood,H,"W, 106-73",140,93
11/9/2021,N,LSU,SEC,Louisiana Monroe,H,"W, 101-39",116.2,64.7
11/9/2021,N,Alabama,SEC,Louisiana Tech,H,"W, 93-64",129.7,92
11/9/2021,N,Southern,SWAC,Louisville,A,"L, 72-60",86.2,92.2
11/9/2021,N,Coppin St.,MEAC,Loyola Chicago,A,"L, 103-45",70.2,121.2
11/9/2021,N,Chattanooga,SC,Loyola Marymount,A,"W, 75-64",110.1,101.5
11/9/2021,N,North Carolina,ACC,Loyola MD,H,"W, 83-67",110.2,96.8
11/9/2021,N,Louisiana Monroe,SB,LSU,A,"L, 101-39",72.7,118.7
11/9/2021,N,Virginia Tech,ACC,Maine,H,"W, 82-47",104.4,80.8
11/9/2021,N,American,Pat,Marist,H,"W, 77-73",94.1,98.6
11/9/2021,N,SIU Edwardsville,OVC,Marquette,A,"L, 88-77",101.7,98.1
11/9/2021,N,Quinnipiac,MAAC,Maryland,A,"L, 83-69",94.1,107.2
11/9/2021,N,UMBC,AE,Massachusetts,A,"L, 77-60",81.5,89.9
11/9/2021,N,SMU,Amer,McNeese St.,H,"W, 86-62",92.5,85.8
11/9/2021,N,Tennessee Tech,OVC,Memphis,A,"L, 89-65",103.5,111.9
11/9/2021,N,Arkansas,SEC,Mercer,H,"W, 74-61",98.9,91.7
11/9/2021,N,Canisius,MAAC,Miami FL,A,"L, 77-67",95.1,93.3
11/9/2021,N,Georgia Tech,ACC,Miami OH,H,"L, 72-69",87.8,97.3
11/9/2021,N,Kansas,B12,Michigan St.,N,"W, 87-74",117.9,89.6
11/9/2021,N,North Dakota,Sum,Milwaukee,H,"L, 75-60",78.2,117.6
11/9/2021,N,UMKC,Sum,Minnesota,A,"L, 71-56",90.5,103.3
11/9/2021,N,New Orleans,Slnd,Mississippi,A,"L, 82-61",90.1,104.5
11/9/2021,N,Central Michigan,MAC,Missouri,A,"L, 78-68",102.5,112.1
11/9/2021,N,Southeast Missouri S,OVC,Missouri St.,A,"W, 99-94",130.1,109.6
11/9/2021,N,Charlotte,CUSA,Monmouth,H,"W, 68-66",104.8,95.8
11/9/2021,N,Colorado,P12,Montana St.,H,"W, 94-90",117.7,117.7
11/9/2021,N,Auburn,SEC,Morehead St.,H,"W, 77-54",116.2,77.3
11/9/2021,N,Villanova,BE,Mount St. Mary's,H,"W, 91-51",140,96
11/9/2021,N,Virginia,ACC,Navy,H,"L, 66-58",96.4,111.4
11/9/2021,N,Western Illinois,Sum,Nebraska,A,"W, 75-74",97.1,89.5
11/9/2021,N,Eastern Washington,BSky,Nevada,A,"L, 91-76",101.1,112.5
11/9/2021,N,UC Irvine,BW,New Mexico St.,A,"L, 62-51",86.1,90.5
11/9/2021,N,Mississippi,SEC,New Orleans,H,"W, 82-61",104.7,93.1
11/9/2021,N,Xavier,BE,Niagara,H,"W, 63-60",94.2,88.1
11/9/2021,N,Northern Iowa,MVC,Nicholls St.,H,"L, 62-58",87.3,96
11/9/2021,N,Loyola MD,Pat,North Carolina,A,"L, 83-67",97.8,100.7
11/9/2021,N,UNC Greensboro,SC,North Carolina A&T,H,"W, 57-53",79.9,88.4
11/9/2021,N,Richmond,A10,North Carolina Centr,H,"W, 70-60",89.7,98.8
11/9/2021,N,Bucknell,Pat,North Carolina St.,A,"L, 88-70",101.6,105
11/9/2021,N,Milwaukee,Horz,North Dakota,A,"W, 75-60",93.4,87.9
11/9/2021,N,Texas Tech,B12,North Florida,H,"W, 89-74",120.5,108.6
11/9/2021,N,Colgate,Pat,Northeastern,H,"W, 65-58",93.5,91.4
11/9/2021,N,Arizona,P12,Northern Arizona,H,"W, 81-52",101.2,85.2
11/9/2021,N,Washington,P12,Northern Illinois,H,"L, 71-64",80.5,105.3
11/9/2021,N,Nicholls St.,Slnd,Northern Iowa,A,"W, 62-58",93.6,81.4
11/9/2021,N,Eastern Illinois,OVC,Northwestern,A,"L, 80-56",85.7,105.5
11/9/2021,N,Oklahoma,B12,Northwestern St.,H,"W, 77-59",94,92.5
11/9/2021,N,West Virginia,B12,Oakland,H,"W, 60-53",83.2,76.2
11/9/2021,N,Belmont,OVC,Ohio,A,"L, 92-80",111.4,120.1
11/9/2021,N,Akron,MAC,Ohio St.,A,"L, 67-66",112.3,96.9
11/9/2021,N,Northwestern St.,Slnd,Oklahoma,A,"L, 77-59",95,96.9
11/9/2021,N,UT Arlington,SB,Oklahoma St.,A,"L, 88-45",75.8,118.4
11/9/2021,N,Colorado St.,MWC,Oral Roberts,H,"W, 109-80",126.4,106.9
11/9/2021,N,Texas Southern,SWAC,Oregon,A,"L, 83-66",107.4,118.5
11/9/2021,N,Portland St.,BSky,Oregon St.,A,"L, 73-64",85.1,90.3
11/9/2021,N,Rice,CUSA,Pepperdine,H,"W, 82-63",102,93.3
11/9/2021,N,The Citadel,SC,Pittsburgh,A,"W, 78-63",119.6,92.8
11/9/2021,N,Arizona St.,P12,Portland,H,"W, 76-60",96.3,80.5
11/9/2021,N,Oregon St.,P12,Portland St.,H,"W, 73-64",92.6,97.2
11/9/2021,N,Clemson,ACC,Presbyterian,H,"W, 64-53",88.9,91.2
11/9/2021,N,Fairfield,MAAC,Providence,A,"L, 80-73",104.3,95.1
11/9/2021,N,Bellarmine,ASun,Purdue,A,"L, 96-67",110.9,116.1
11/9/2021,N,Maryland,B10,Quinnipiac,H,"W, 83-69",108.1,91.7
11/9/2021,N,Boston University,Pat,Rhode Island,A,"L, 71-62",92.8,102.5
11/9/2021,N,Pepperdine,WCC,Rice,A,"L, 82-63",82.8,103.3
11/9/2021,N,North Carolina Centr,MEAC,Richmond,A,"L, 70-60",94.5,90.9
11/9/2021,N,Duquesne,A10,Rider,H,"W, 73-61",107.8,103.7
11/9/2021,N,La Salle,A10,Sacred Heart,H,"L, 86-81",86.8,104.5
11/9/2021,N,Maryland Eastern Sho,MEAC,Saint Joseph's,A,"L, 69-67",92.9,98.7
11/9/2021,N,Central Arkansas,ASun,Saint Louis,A,"L, 96-61",92.7,108.4
11/9/2021,N,Prairie View A&M,SWAC,Saint Mary's,A,"L, 87-68",112.7,113.8
11/9/2021,N,VCU,A10,Saint Peter's,H,"W, 57-54",89,75.7
11/9/2021,N,UC Riverside,BW,San Diego St.,A,"L, 66-53",96.4,94.1
11/9/2021,N,LIU Brooklyn,NEC,San Francisco,A,"L, 98-64",101.1,124.3
11/9/2021,N,Cal St. Fullerton,BW,Santa Clara,A,"L, 84-77",120.2,114.4
11/9/2021,N,St. Bonaventure,A10,Siena,H,"W, 75-47",107.7,91.9
11/9/2021,N,Marquette,BE,SIU Edwardsville,H,"W, 88-77",101.6,104.1
11/9/2021,N,McNeese St.,Slnd,SMU,A,"L, 86-62",87.6,94.6
11/9/2021,N,USC Upstate,BSth,South Carolina,A,"L, 78-60",83.9,94.4
11/9/2021,N,East Carolina,Amer,South Carolina St.,H,"W, 70-62",84.1,89.5
11/9/2021,N,Bradley,MVC,South Dakota St.,A,"L, 81-65",78.5,90.3
11/9/2021,N,Bethune Cookman,SWAC,South Florida,A,"L, 75-54",91.6,119.9
11/9/2021,N,Missouri St.,MVC,Southeast Missouri S,H,"L, 99-94",112.5,127.3
11/9/2021,N,Tulane,Amer,Southeastern Louisia,H,"W, 70-67",94,99.2
11/9/2021,N,Louisville,ACC,Southern,H,"W, 72-60",95.6,90.1
11/9/2021,N,Little Rock,SB,Southern Illinois,H,"W, 69-66",97.8,95.4
11/9/2021,N,Siena,MAAC,St. Bonaventure,A,"L, 75-47",91,104
11/9/2021,N,Wisconsin,B10,St. Francis NY,H,"W, 81-58",107.2,88.6
11/9/2021,N,George Washington,A10,St. Francis PA,H,"W, 75-72",93,100.1
11/9/2021,N,Mississippi Valley S,SWAC,St. John's,A,"L, 119-61",81.7,127.1
11/9/2021,N,Chicago St.,WAC,St. Thomas,H,"W, 77-72",98.9,105.2
11/9/2021,N,Tarleton St.,WAC,Stanford,A,"L, 62-50",90.7,96.6
11/9/2021,N,George Mason,A10,Stony Brook,H,"W, 74-52",93.7,78.1
11/9/2021,N,Lafayette,Pat,Syracuse,A,"L, 97-63",90.8,115.9
11/9/2021,N,Stanford,P12,Tarleton St.,H,"W, 62-50",98.4,90.1
11/9/2021,N,Tennessee Martin,OVC,Tennessee,A,"L, 90-62",112.3,109.5
11/9/2021,N,Tennessee,SEC,Tennessee Martin,H,"W, 90-62",113.7,101.4
11/9/2021,N,Alabama A&M,SWAC,Tennessee St.,H,"W, 82-73",107.2,108.9
11/9/2021,N,Memphis,Amer,Tennessee Tech,H,"W, 89-65",117.3,95.4
11/9/2021,N,Houston Christian,Slnd,Texas,A,"L, 92-48",98.8,124.6
11/9/2021,N,Oregon,P12,Texas Southern,H,"W, 83-66",131.9,110.1
11/9/2021,N,Incarnate Word,Slnd,Texas St.,H,"L, 75-57",91.5,125
11/9/2021,N,North Florida,ASun,Texas Tech,A,"L, 89-74",122.7,113.8
11/9/2021,N,Pittsburgh,ACC,The Citadel,H,"L, 78-63",85.7,119.9
11/9/2021,N,Valparaiso,MVC,Toledo,H,"L, 69-61",91.6,96.7
11/9/2021,N,Albany,AE,Towson,H,"L, 77-56",89.5,103.5
11/9/2021,N,Southeastern Louisia,Slnd,Tulane,A,"L, 70-67",101.8,94.4
11/9/2021,N,UNC Asheville,BSth,UAB,A,"L, 102-77",116.2,124.3
11/9/2021,N,Utah St.,MWC,UC Davis,H,"L, 72-69",91.5,98.8
11/9/2021,N,New Mexico St.,WAC,UC Irvine,H,"W, 62-51",99.5,84.2
11/9/2021,N,San Diego St.,MWC,UC Riverside,H,"W, 66-53",96.2,82.8
11/9/2021,N,California,P12,UC San Diego,H,"L, 80-67",90.7,108.9
11/9/2021,N,Cal St. Bakersfield,BW,UCLA,A,"L, 95-58",88.3,105.7
11/9/2021,N,Massachusetts,A10,UMBC,H,"W, 77-60",91,88.7
11/9/2021,N,Minnesota,B10,UMKC,H,"W, 71-56",106.4,90.8
11/9/2021,N,UAB,CUSA,UNC Asheville,H,"W, 102-77",132.2,113.7
11/9/2021,N,North Carolina A&T,BSth,UNC Greensboro,A,"L, 57-53",84.2,84.6
11/9/2021,N,Illinois St.,MVC,UNC Wilmington,H,"W, 68-63",93.2,93.3
11/9/2021,N,Cal St. Northridge,BW,USC,A,"L, 89-49",80.6,119.9
11/9/2021,N,South Carolina,SEC,USC Upstate,H,"W, 78-60",86.5,78.1
11/9/2021,N,Oklahoma St.,B12,UT Arlington,H,"W, 88-45",119.9,69.4
11/9/2021,N,Abilene Christian,WAC,Utah,A,"L, 70-56",81.6,94.3
11/9/2021,N,UC Davis,BW,Utah St.,A,"W, 72-69",99.9,84.4
11/9/2021,N,Gonzaga,WCC,Utah Tech,H,"W, 97-63",115.3,90.2
11/9/2021,N,Boise St.,MWC,Utah Valley,H,"W, 76-56",113.5,86.5
11/9/2021,N,Toledo,MAC,Valparaiso,A,"W, 69-61",100.3,91.3
11/9/2021,N,Navy,Pat,Virginia,A,"W, 66-58",110.4,85.8
11/9/2021,N,Maine,AE,Virginia Tech,A,"L, 82-47",78.3,103.2
11/9/2021,N,Hartford,AE,Wagner,A,"L, 77-59",90,113.9
11/9/2021,N,Northern Illinois,MAC,Washington,A,"W, 71-64",98.9,79.9
11/9/2021,N,Alcorn St.,SWAC,Washington St.,A,"L, 85-67",108.5,114.9
11/9/2021,N,Oakland,Horz,West Virginia,A,"L, 60-53",81.2,79.2
11/9/2021,N,Bowling Green,MAC,Western Carolina,A,"L, 79-71",80,95.3
11/9/2021,N,Nebraska,B10,Western Illinois,H,"L, 75-74",89.6,99.1
11/9/2021,N,Alabama St.,SWAC,Western Kentucky,A,"L, 79-74",98,91.8
11/9/2021,N,Jacksonville St.,ASun,Wichita St.,A,"L, 60-57",101.3,91.4
11/9/2021,N,St. Francis NY,NEC,Wisconsin,A,"L, 81-58",89.3,106.5
11/9/2021,N,Niagara,MAAC,Xavier,A,"L, 63-60",89.3,86.5
11/10/2021,N,Vanderbilt,SEC,Alabama St.,H,"W, 91-72",106.7,99.5
11/10/2021,N,Seattle,WAC,Alcorn St.,H,"W, 69-66",93.9,97.8
11/10/2021,N,Michigan,B10,Buffalo,H,"W, 88-76",119.8,100
11/10/2021,N,DePaul,BE,Coppin St.,H,"W, 97-72",113.8,111.6
11/10/2021,N,Coppin St.,MEAC,DePaul,A,"L, 97-72",100.4,110.5
11/10/2021,N,Wyoming,MWC,Detroit,H,"W, 85-47",115.4,76
11/10/2021,N,Seton Hall,BE,Fairleigh Dickinson,H,"W, 93-49",99.9,78.4
11/10/2021,N,Kansas St.,B12,Florida A&M,H,"W, 67-57",90.1,93.8
11/10/2021,N,New Mexico,MWC,Florida Atlantic,H,"W, 99-92",126,117.9
11/10/2021,N,Penn,Ivy,Florida St.,A,"L, 105-70",98.2,120.3
11/10/2021,N,UNLV,MWC,Gardner Webb,H,"W, 64-58",94.1,86.9
11/10/2021,N,Long Beach St.,BW,Idaho,A,"W, 95-89",98.1,110
11/10/2021,N,Florida A&M,SWAC,Kansas St.,A,"L, 67-57",91.4,88.3
11/10/2021,N,Rutgers,B10,Lehigh,H,"W, 73-70",81.7,92.4
11/10/2021,N,Idaho,BSky,Long Beach St.,H,"L, 95-89",104.2,110.3
11/10/2021,N,Temple,Amer,Maryland Eastern Sho,H,"W, 72-49",99.6,91.3
11/10/2021,N,Buffalo,MAC,Michigan,A,"L, 88-76",109.8,109.1
11/10/2021,N,North Alabama,ASun,Mississippi St.,A,"L, 75-49",80,100.4
11/10/2021,N,Florida Atlantic,CUSA,New Mexico,A,"L, 99-92",118.1,120.9
11/10/2021,N,Mississippi St.,SEC,North Alabama,H,"W, 75-49",105.1,83.8
11/10/2021,N,Texas A&M,SEC,North Florida,H,"W, 64-46",84,74.6
11/10/2021,N,Pacific,WCC,Northern Colorado,N,"L, 67-65",83.2,95.3
11/10/2021,N,Tulsa,Amer,Northwestern St.,H,"W, 82-75",100.4,112
11/10/2021,N,Northern Colorado,BSky,Pacific,N,"W, 67-65",97.7,97.1
11/10/2021,N,Florida St.,ACC,Penn,H,"W, 105-70",115.4,91.9
11/10/2021,N,Youngstown St.,Horz,Penn St.,A,"L, 75-59",102.9,113.6
11/10/2021,N,UCF,Amer,Robert Morris,H,"W, 69-59",94.1,88.1
11/10/2021,N,Lehigh,Pat,Rutgers,A,"L, 73-70",93.5,84
11/10/2021,N,Alcorn St.,SWAC,Seattle,A,"L, 69-66",99,98.9
11/10/2021,N,Fairleigh Dickinson,NEC,Seton Hall,A,"L, 93-49",79.4,108.1
11/10/2021,N,Maryland Eastern Sho,MEAC,Temple,A,"L, 72-49",84.1,100.1
11/10/2021,N,North Florida,ASun,Texas A&M,A,"L, 64-46",77.2,80.3
11/10/2021,N,Northwestern St.,Slnd,Tulsa,A,"L, 82-75",105.5,110.5
11/10/2021,N,Robert Morris,Horz,UCF,A,"L, 69-59",88.4,99.7
11/10/2021,N,Gardner Webb,BSth,UNLV,A,"L, 64-58",86.3,84.3
11/10/2021,N,Alabama St.,SWAC,Vanderbilt,A,"L, 91-72",100.7,111.1
11/10/2021,N,William & Mary,CAA,Wake Forest,A,"L, 77-59",83.4,101.1
11/10/2021,N,Wake Forest,ACC,William & Mary,H,"W, 77-59",105.2,87.8
11/10/2021,N,Detroit,Horz,Wyoming,A,"L, 85-47",82.6,118.1
11/10/2021,N,Penn St.,B10,Youngstown St.,H,"W, 75-59",108,96.2
11/11/2021,N,South Dakota,Sum,Air Force,N,"W, 59-53",90.7,84.5
11/11/2021,N,UC Riverside,BW,Arizona St.,A,"W, 66-65",111.9,98.2
11/11/2021,N,San Jose St.,MWC,Cal St. Fullerton,H,"W, 78-76",120.3,111.2
11/11/2021,N,South Carolina St.,MEAC,College of Charlesto,A,"L, 106-74",81.1,113.8
11/11/2021,N,Kennesaw St.,ASun,Creighton,A,"L, 51-44",75.4,73.8
11/11/2021,N,IUPUI,Horz,Evansville,A,"L, 60-40",68.1,104.5
11/11/2021,N,Maryland,B10,George Washington,H,"W, 71-64",93.6,92.9
11/11/2021,N,Northern Colorado,BSky,Hawaii,A,"W, 81-78",119.5,101.5
11/11/2021,N,Evansville,MVC,IUPUI,H,"W, 60-40",88.1,90
11/11/2021,N,Creighton,BE,Kennesaw St.,H,"W, 51-44",71,67
11/11/2021,N,George Washington,A10,Maryland,A,"L, 71-64",92.4,88.8
11/11/2021,N,TCU,B12,McNeese St.,H,"W, 77-61",88.2,83.6
11/11/2021,N,NJIT,AE,Merrimack,H,"L, 61-54",72.4,101.1
11/11/2021,N,Merrimack,NEC,NJIT,A,"W, 61-54",88,84.5
11/11/2021,N,Washington,P12,Northern Arizona,H,"W, 73-62",84.3,91.4
11/11/2021,N,Hawaii,BW,Northern Colorado,H,"L, 81-78",91.6,112.9
11/11/2021,N,Vermont,AE,Northern Iowa,A,"W, 71-57",100.9,74.3
11/11/2021,N,San Francisco,WCC,Prairie View A&M,H,"W, 92-76",116.5,105.2
11/11/2021,N,Sacred Heart,NEC,Providence,A,"L, 92-64",108.4,114.1
11/11/2021,N,Providence,BE,Sacred Heart,H,"W, 92-64",109.5,103.2
11/11/2021,N,Prairie View A&M,SWAC,San Francisco,A,"L, 92-76",109.1,111.7
11/11/2021,N,Cal St. Fullerton,BW,San Jose St.,A,"L, 78-76",105.5,126
11/11/2021,N,College of Charlesto,CAA,South Carolina St.,H,"W, 106-74",113.4,89.2
11/11/2021,N,Air Force,MWC,South Dakota,N,"L, 59-53",75.3,90.4
11/11/2021,N,McNeese St.,Slnd,TCU,A,"L, 77-61",88.4,89.5
11/11/2021,N,Arizona St.,P12,UC Riverside,H,"L, 66-65",98.7,101.7
11/11/2021,N,Northern Iowa,MVC,Vermont,H,"L, 71-57",84.1,93.9
11/11/2021,N,Northern Arizona,BSky,Washington,A,"L, 73-62",88,89.9
11/12/2021,N,Texas A&M,SEC,Abilene Christian,H,"W, 81-80",105.3,99.4
11/12/2021,N,South Dakota St.,Sum,Alabama,A,"L, 104-88",117.6,111.1
11/12/2021,N,William & Mary,CAA,American,H,"L, 74-62",77.6,106.7
11/12/2021,N,East Tennessee St.,SC,Appalachian St.,A,"L, 69-67",112.7,109
11/12/2021,N,UT Rio Grande Valley,WAC,Arizona,A,"L, 104-50",77.1,105
11/12/2021,N,Colorado St.,MWC,Arkansas Pine Bluff,H,"W, 91-71",104.2,101.6
11/12/2021,N,Illinois,B10,Arkansas St.,H,"W, 92-53",115.3,79.5
11/12/2021,N,Duke,ACC,Army,H,"W, 82-56",95.5,81.5
11/12/2021,N,Louisiana Monroe,SB,Auburn,A,"L, 93-65",108.9,104.2
11/12/2021,N,Southern Illinois,MVC,Austin Peay,H,"W, 73-55",108.6,102.6
11/12/2021,N,Incarnate Word,Slnd,Baylor,A,"L, 87-60",102.8,100.6
11/12/2021,N,Middle Tennessee,CUSA,Bethune Cookman,H,"W, 71-51",101.6,92.6
11/12/2021,N,Holy Cross,Pat,Boston College,A,"L, 85-55",83.5,120.9
11/12/2021,N,North Carolina,ACC,Brown,H,"W, 94-87",126.7,131.9
11/12/2021,N,Rhode Island,A10,Bryant,H,"W, 83-64",101.9,92.5
11/12/2021,N,Central Arkansas,ASun,Butler,A,"L, 85-53",93.2,119.6
11/12/2021,N,San Diego St.,MWC,BYU,A,"L, 66-60",96.3,90.5
11/12/2021,N,North Dakota St.,Sum,Cal Poly,A,"W, 60-57",95.3,98.6
